trade_id,asset,direction,limit_created_bar,entry_time_utc,hour_utc,session_utc,weekday,sub_periodo,fate,filled,fill_bar,exit_bar,outcome,pnl_usd,pnl_r,origin_bar,swing_high_dist_atr,swing_high_age_bars,swing_low_dist_atr,swing_low_age_bars,swing_high_seq,swing_low_seq,n_swings_window300,dir_swing_dist_atr,dir_swing_age_bars,dir_swing_broke,opp_swing_dist_atr,opp_swing_age_bars,range_pos_htf,range_pos_roll60,range_pos_roll288,dist_resistencia_atr,dist_soporte_atr,swing_amplitude_atr,swing_amplitude_ratio,origin_dist_atr,origin_age_bars,origin_retracement_frac,space_to_next_swing_atr,n_obstacles_to_tp,dist_first_obstacle_tp_atr,first_obstacle_tp_frac,n_obstacles_to_sl,dist_sl_beyond_swing_atr,dist_tp_nearest_swing_atr,momentum_roc_atr_10
L00000,XAU,LONG,1,2025-04-14T18:55:03+00:00,18,Nueva York,Monday,sub1,EXPIRED,False,,,,,,0,,,,,,,0,,,,,,0.3762999788213721,0.3762999788213721,0.3762999788213721,,,,,,,,,,,,,,,
L00001,XAU,SHORT,17,2025-04-14T20:15:03+00:00,20,Nueva York,Monday,sub1,FILLED_CLOSED,True,18.0,21.0,win,2.619672128487764,0.9426088084416147,15,,,,,,,0,,,,,,0.7712024783351602,0.7712024783351602,0.7712024783351602,1.1713381095821478,3.9482020893628986,,,1.1713381095821478,2.0,0.48816226719147493,,0.0,,,0.0,,,0.1772063547497745
L00002,XAU,SHORT,35,2025-04-14T22:45:03+00:00,22,Post-NY / transicion,Monday,sub1,FILLED_CLOSED,True,36.0,63.0,loss,-2.8813404611987607,-1.0586000547326315,34,0.6056776631317845,9.0,3.0390808517946084,14.0,LH,,3,3.0390808517946084,14.0,False,0.6056776631317845,9.0,0.41659584674941424,0.8003517236739797,0.8003517236739797,1.4898648249336126,1.0638791219211516,3.6447585149263926,0.9791634511499047,1.4898648249336126,1.0,0.48790148074399836,3.0390808517946084,0.0,,,2.0,,1.4753275104916157,-1.246135122773456
L00003,XAU,SHORT,76,2025-04-15T02:10:03+00:00,2,Asia,Tuesday,sub1,FILLED_CLOSED,True,77.0,86.0,loss,-5.426010078356285,-1.0303835347101713,69,1.7976694915284046,7.0,3.7937897197084247,14.0,HH,LL,10,3.7937897197084247,14.0,False,1.7976694915284046,7.0,0.6784972538267412,0.7243818608028558,0.7836518329533221,1.7976694915284046,3.7937897197084247,5.591459211236829,3.092915214866347,1.7976694915284046,7.0,0.49379796999835834,3.5243302383808346,0.0,,,1.0,,0.12318814132680543,1.7462374179540896
L00004,XAU,SHORT,112,2025-04-15T05:10:03+00:00,5,Asia,Tuesday,sub1,EXPIRED,False,,,,,,109,0.4666259653629466,14.0,2.879058579591462,17.0,HH,HL,15,2.879058579591462,17.0,False,0.4666259653629466,14.0,0.8474287309500175,0.8474287309500175,0.8863880074252806,1.6807621421886056,9.335480644898565,3.3456845449544086,1.4302349760865192,1.6807621421886056,3.0,0.49081616720236887,2.879058579591462,0.0,,,1.0,,0.1804028423361858,0.06810058684111828
L00005,XAU,LONG,194,2025-04-15T12:00:03+00:00,12,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,195.0,196.0,win,3.599967120538622,0.9575737744510686,191,2.7810549001173572,22.0,0.33810361576249676,14.0,LH,LL,24,2.7810549001173572,22.0,False,0.33810361576249676,14.0,0.6560889195045778,0.23584255151272537,0.5974680590713958,0.8157750052006115,1.556277107878863,3.119158515879854,1.2592143969544987,1.556277107878863,3.0,0.4912945563304684,1.6820412358717296,0.0,,,3.0,2.5183567897731494,0.07061154173987376,-0.31461623617638595
L00006,XAU,SHORT,198,2025-04-15T12:20:03+00:00,12,Londres/NY (overlap),Tuesday,sub1,EXPIRED,False,,,,,,197,2.2108741323182493,26.0,1.4415678453200202,7.0,LH,LL,25,1.4415678453200202,7.0,False,2.2108741323182493,26.0,0.4249205231140533,0.2594237087852639,0.6094047938956726,1.9509909201531352,1.4415678453200202,1.02581679024095,0.3905455544867502,1.9509909201531352,1.0,0.4941017283355333,0.41575105507907006,4.0,0.41575105507907006,0.2081283729596338,2.0,0.21330383872015118,0.0038293045944021967,0.8453423373484599
L00007,XAU,LONG,202,2025-04-15T12:40:03+00:00,12,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,205.0,207.0,win,5.631995802214078,0.9724596191645718,199,1.894334417166974,5.0,0.9557753963510064,11.0,LH,LL,26,1.894334417166974,5.0,False,0.9557753963510064,11.0,0.4754765073226997,0.31625852799137255,0.581722460862575,1.894334417166974,1.717199562937164,2.8501098135179803,3.3071780436312515,1.717199562937164,3.0,0.4943877302942403,1.3351682828838471,1.0,1.3351682828838471,0.7602655597373753,4.0,1.020214198300558,0.06774916451364248,0.701080315869033
L00008,XAU,SHORT,210,2025-04-15T13:20:03+00:00,13,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,211.0,213.0,win,4.658204350378128,0.9669933039093138,207,1.3536267413962195,13.0,2.225671133778958,11.0,LH,LL,27,2.225671133778958,11.0,False,1.3536267413962195,13.0,0.6123573680852095,0.41359600187772677,0.6390310067938889,1.4089240385441029,2.225671133778958,3.579297875175177,1.2671560804340756,1.4089240385441029,3.0,0.4932114913671894,0.16674840138391941,5.0,0.16674840138391941,0.11518091599724821,3.0,0.12229888031594993,0.023334755932116848,-0.3699509390714797
L00009,XAU,LONG,218,2025-04-15T14:00:03+00:00,14,Londres/NY (overlap),Tuesday,sub1,EXPIRED,False,,,,,,217,2.208223941455019,11.0,0.902352719152904,19.0,HH,LL,28,2.208223941455019,11.0,False,0.902352719152904,19.0,0.4183177495156709,0.3367348376336865,0.5108792287130991,2.208223941455019,1.5880478884252536,3.1105766606079235,1.0154492023509434,1.5880478884252536,1.0,0.49485205336206434,1.6866223648292382,0.0,,,3.0,0.1796634614368437,0.06553354737254288,-0.7438223666675652
