config,born_bar,entry_bar,exit_bar,direction,outcome,pnl_usd,pnl_r,entry_timestamp
A,17,18,21,-1,win,2.619672128487764,0.9426088084416147,1744662003
A,35,36,63,-1,loss,-2.8813404611987607,-1.0586000547326315,1744671003
A,76,77,86,-1,loss,-5.426010078356285,-1.0303835347101713,1744683303
A,120,121,138,1,loss,-5.251115024312639,-1.0314273001564036,1744696503
A,194,195,196,1,win,3.599967120538622,0.9575737744510686,1744718703
A,202,205,207,1,win,5.631995802214078,0.9724596191645718,1744721703
A,210,211,213,-1,win,4.658204350378128,0.9669933039093138,1744723503
A,230,234,261,-1,loss,-5.620114104785898,-1.0293034169120399,1744730403
A,282,283,290,-1,loss,-3.46598064439695,-1.0483971375546373,1744745103
A,293,296,307,-1,loss,-4.643796012316216,-1.035568570754846,1744749003
A,324,325,325,-1,loss,-7.303280223200545,-1.0223986732986043,1744761303
A,358,359,367,-1,loss,-5.267386613739291,-1.0312262217353687,1744771503
A,398,399,402,-1,loss,-4.462484833350572,-1.0370672930946743,1744783503
A,406,407,410,-1,loss,-5.846142631292423,-1.0279578006580623,1744785903
A,477,478,493,-1,loss,-8.681225430254017,-1.0186570985830992,1744807203
A,500,501,514,-1,loss,-9.864892912444702,-1.0164341620621284,1744814103
A,526,527,546,-1,loss,-7.2847549561297456,-1.0224569126917404,1744821903
A,562,563,568,-1,win,3.8554208508594456,0.9602731894538794,1744832703
A,591,592,603,-1,win,6.9562065120971965,0.9776534947047105,1744845003
A,614,615,616,1,win,4.310050528402371,0.9642062211638925,1744851903
A,629,630,688,1,loss,-15.065642369095713,-1.0107002869052448,1744856403
A,694,695,705,1,loss,-9.16797797626623,-1.0177055436467701,1744875903
A,739,741,742,-1,win,4.4044101289291575,0.9651576352974056,1744889703
A,750,758,768,-1,win,12.930510690704068,0.9878151360019114,1744894803
A,784,786,803,1,win,15.540510607605029,0.989840771195244,1744903203
A,824,825,825,-1,win,2.493130442735037,0.9396938810762264,1744914903
A,915,916,925,-1,win,3.776544023865881,0.9595989781754546,1745205303
A,994,995,1000,-1,loss,-3.6246983701594218,-1.0461800661719611,1745229003
A,1025,1026,1030,-1,loss,-6.740272676055156,-1.024159460916752,1745238303
A,1039,1040,1043,-1,loss,-11.916400203887406,-1.0135233977956346,1745242503
A,1096,1097,1098,-1,loss,-6.359806140713772,-1.025724536237397,1745259603
A,1116,1117,1130,1,win,5.382241080687891,0.9712184315944329,1745265603
A,1142,1143,1144,-1,loss,-5.588051997335697,-1.0294765046610432,1745277003
A,1150,1152,1153,-1,win,7.139874303127272,0.9781488120246932,1745279703
A,1157,1158,1172,1,win,16.835653246267157,0.9905858281713886,1745281503
A,1178,1179,1181,-1,loss,-10.529776563770156,-1.015331542341304,1745287803
A,1203,1204,1224,-1,loss,-11.794083880924063,-1.0136655654249584,1745295303
A,1244,1245,1256,1,loss,-13.90362058236451,-1.0116049622123084,1745307603
A,1264,1265,1274,1,win,12.133814858908408,0.9870254685713046,1745313603
A,1298,1299,1300,-1,loss,-5.963489348211169,-1.027569620688486,1745323803
A,1301,1302,1305,-1,win,8.80728224343693,0.982266897730546,1745324703
A,1311,1312,1317,1,loss,-20.980213809464203,-1.0076364424021895,1745327703
A,1321,1322,1345,1,loss,-21.171952539078575,-1.0075667614869424,1745330703
