signal_bar,entry_bar,exit_bar,entry_time_utc,direction,entry_price,stop,target,exit_price,outcome,pnl_r,pnl_usd,nights_held,sub_periodo,session_utc,hour_utc,weekday,weekday_num,rsi_entry,adx_entry,atr_entry,atr_pct_entry,ema_entry,close_entry,dist_ema,dist_ema_abs,dist_ema_atr,htf_resistencia,htf_soporte,htf_width,htf_width_atr,htf_pos_in_block,htf_age_bars,d1_trend,aligned_with_d1,divergencia_score,divergencia_reason,tendencia_score,tendencia_reason,cvp_score,cvp_reason,cvp_margin,cvp_n_closed_before,cvp_aciertos_pct_causal,nodo_score,nodo_reason
17,18,21,2025-04-14T20:20:03+00:00,SHORT,3211.1703807115127,3213.9495528400003,3208.391208583025,3208.391208583025,win,0.9426088084416147,2.619672128487764,0,sub1,Nueva York,20,Lunes,0,67.35396592967467,,2.2383343510145197,0.06971190830467837,3211.1187836789722,3210.835,-0.28378367897221324,0.28378367897221324,0.12678341769789173,3213.821,3202.236,11.585000000000036,5.175723633401401,0.7422529132499036,18,insuficiente,,0,sin divergencia vigente,0,sin momentum claro / historial insuficiente,0,datos insuficientes (menos de 10 operaciones cerradas todavia),,0,,-1,"POC~3211.649, zona 3208.994-3212.856 -- nodo en el camino a la salida"
35,36,63,2025-04-14T22:50:03+00:00,SHORT,3212.631768538801,3215.3536090000002,3209.909928077602,3215.3536090000002,loss,-1.0586000547326315,-2.8813404611987607,1,sub1,Post-NY / transicion,22,Lunes,0,57.62348887332578,24.290299662714215,1.68175444284781,0.05234834483633026,3212.630265686678,3212.622,-0.008265686677987105,0.008265686677987105,0.004914918889103899,3215.225,3210.78,4.444999999999709,2.643073142398089,0.4143982002249188,10,insuficiente,,0,sin divergencia vigente,0,sin momentum claro / historial insuficiente,0,datos insuficientes (menos de 10 operaciones cerradas todavia),,1,,-1,"POC~3212.539, zona 3211.891-3213.743 -- nodo en el camino a la salida"
76,77,86,2025-04-15T02:15:03+00:00,SHORT,3220.8430291216437,3226.1090392,3215.5770190432872,3226.1090392,loss,-1.0303835347101713,-5.426010078356285,0,sub1,Asia,2,Martes,1,58.5535335482322,30.414310671261457,2.8360315943717773,0.08803491539994063,3220.94179387216,3221.485,0.5432061278402216,0.5432061278402216,0.19153740350362694,3225.98,3210.002,15.978000000000065,5.6339287727644045,0.7186756790587137,51,insuficiente,,0,sin divergencia vigente,0,sin momentum claro / historial insuficiente,0,datos insuficientes (menos de 10 operaciones cerradas todavia),,2,,-1,"POC~3212.332, zona 3210.002-3221.320 -- nodo en el camino a la salida"
194,195,196,2025-04-15T12:05:03+00:00,LONG,3220.4067960805382,3216.64732896,3224.1662632010766,3224.1662632010766,win,0.9575737744510686,3.599967120538622,0,sub1,Londres/NY (overlap),12,Martes,1,47.31637143858323,30.432040245397754,2.329072375985373,0.07230476383202014,3220.526981298917,3221.188,0.6610187010833215,0.6610187010833215,0.28381200511369287,3222.365,3216.776,5.588999999999942,2.3996678066457138,0.789407765253231,9,insuficiente,,0,sin divergencia vigente,0,sin momentum claro / historial insuficiente,0,datos insuficientes (menos de 10 operaciones cerradas todavia),,3,,-1,"POC~3220.153, zona 3218.173-3221.201 -- nodo en el camino a la salida"
202,205,207,2025-04-15T12:55:03+00:00,LONG,3219.9279252022134,3214.1364293999995,3225.719421004427,3225.719421004427,win,0.9724596191645718,5.631995802214078,0,sub1,Londres/NY (overlap),12,Martes,1,50.80325662696474,20.557262992611445,3.215851520329699,0.09982574761264515,3220.6268868657926,3221.465,0.8381131342075605,0.8381131342075605,0.2606193503988749,3226.175,3214.265,11.91000000000031,3.7035291973863456,0.6045340050377905,19,insuficiente,,0,sin divergencia vigente,0,sin momentum claro / historial insuficiente,0,datos insuficientes (menos de 10 operaciones cerradas todavia),,4,,-1,"POC~3220.964, zona 3217.739-3222.205 -- nodo en el camino a la salida"
210,211,213,2025-04-15T13:25:03+00:00,SHORT,3221.6708500096224,3226.48805436,3216.8536456592446,3216.8536456592446,win,0.9669933039093138,4.658204350378128,0,sub1,Londres/NY (overlap),13,Martes,1,47.95324783414607,15.278798398606044,3.296006222560187,0.1023320937976246,3221.551026931219,3220.892,-0.6590269312191595,0.6590269312191595,0.1999471137852578,3226.359,3214.265,12.094000000000051,3.66928918920729,0.5479576649578242,25,insuficiente,,-1,divergencia alcista RSI vigente -- en contra de la entrada,0,sin momentum claro / historial insuficiente,0,datos insuficientes (menos de 10 operaciones cerradas todavia),,5,,-1,"POC~3221.068, zona 3217.792-3222.832 -- nodo en el camino a la salida"
230,234,261,2025-04-15T15:20:03+00:00,SHORT,3221.529960335214,3226.99007444,3216.069846230428,3226.99007444,loss,-1.0293034169120399,-5.620114104785898,0,sub1,Londres/NY (overlap),15,Martes,1,52.38921373613294,12.757026813142351,3.210508465765072,0.09965398123713619,3220.678829497142,3221.656,0.9771705028579163,0.9771705028579163,0.30436627508629044,3226.861,3211.599,15.261999999999716,4.753764135103361,0.6589568863844828,48,insuficiente,,0,sin divergencia vigente,0,sin momentum claro / historial insuficiente,0,datos insuficientes (menos de 10 operaciones cerradas todavia),,6,,-1,"POC~3222.092, zona 3217.322-3223.681 -- nodo en el camino a la salida"
282,283,290,2025-04-15T19:25:03+00:00,SHORT,3228.684293795603,3231.99027444,3225.378313151206,3231.99027444,loss,-1.0483971375546373,-3.46598064439695,0,sub1,Nueva York,19,Martes,1,48.68190973443613,31.457685638533242,1.867222415747893,0.05786569554827779,3228.3976332116645,3226.821,-1.5766332116645572,1.5766332116645572,0.8443735456298366,3231.861,3211.599,20.261999999999716,10.85141214518037,0.7512585134734955,97,insuficiente,,0,sin divergencia vigente,0,sin momentum claro / historial insuficiente,0,datos insuficientes (menos de 10 operaciones cerradas todavia),,7,,0,"POC~3221.308, zona 3217.509-3225.107 -- sin nodo en el camino"
293,296,307,2025-04-15T20:30:03+00:00,SHORT,3229.3190509476835,3233.80334696,3224.834754935367,3233.80334696,loss,-1.035568570754846,-4.643796012316216,0,sub1,Nueva York,20,Martes,1,56.250634497302585,21.972899485690085,1.9152631917846457,0.05929043870395742,3229.2282197593845,3230.307,1.0787802406152878,1.0787802406152878,0.5632543063755527,3233.674,3211.599,22.074999999999818,11.525831068381935,0.8474745186862869,110,insuficiente,,1,divergencia bajista RSI vigente -- a favor de la entrada,0,sin momentum claro / historial insuficiente,0,datos insuficientes (menos de 10 operaciones cerradas todavia),,8,,-1,"POC~3221.257, zona 3216.198-3225.396 -- nodo en el camino a la salida"
324,325,325,2025-04-15T23:55:03+00:00,SHORT,3241.677667416799,3248.8209476399998,3234.5343871935984,3248.8209476399998,loss,-1.0223986732986043,-7.303280223200545,0,sub1,Post-NY / transicion,23,Martes,1,77.10956093553935,49.064901616434625,3.046208942985021,0.0936781991089502,3243.231872429599,3251.78,8.548127570400993,8.548127570400993,2.8061527394849572,3251.826,3229.896,21.929999999999836,7.199112211426421,0.9979024167806738,23,insuficiente,,0,sin divergencia vigente,0,sin momentum claro / historial insuficiente,0,datos insuficientes (menos de 10 operaciones cerradas todavia),,9,,-1,"POC~3242.232, zona 3237.206-3247.257 -- nodo en el camino a la salida"
